date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:08:08	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2008%20Jul%202024%2002:08:06%20GMT	https://hillandknowlton.com/work	C:/My%20Web%20Sites/project_1/hillandknowlton.com/work.0.delayed	(from )
22:08:08	12863/12863	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%224e4a6ba19c9d86581f495fa6639c4cee%22	https://hillandknowlton.com/robots.txt		(from )
22:08:08	312257/312257	---MCZ	200	added ('OK')	text/html	etag:W/%225d2e103d861f0c2407d32d6c07bf20b2%22	https://hillandknowlton.com/work/	C:/My%20Web%20Sites/project_1/hillandknowlton.com/work/index.html	(from )
22:08:09	111749/111749	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%224e4a6ba19c9d86581f495fa6639c4cee%22	https://hillandknowlton.com/favicons/browserconfig.xml	C:/My%20Web%20Sites/project_1/hillandknowlton.com/favicons/browserconfig.xml	(from https://hillandknowlton.com/work/)
22:08:09	5926/5926	---M--	200	added ('OK')	image/png	etag:%22804fbc706ff1368122845919bcb27437%22	https://hillandknowlton.com/meta.png	C:/My%20Web%20Sites/project_1/hillandknowlton.com/meta.png	(from https://hillandknowlton.com/work/)
22:08:09	5377/5377	---M--	200	added ('OK')	image/png	etag:%229e24cb5ec3f6e5a323b31f1308bd1378%22	https://hillandknowlton.com/favicons/apple-touch-icon.png	C:/My%20Web%20Sites/project_1/hillandknowlton.com/favicons/apple-touch-icon.png	(from https://hillandknowlton.com/work/)
22:08:09	804/804	---M--	200	added ('OK')	image/png	etag:%22d32c81c2d67efa7b19a9a9885f1eb387%22	https://hillandknowlton.com/favicons/favicon-32x32.png	C:/My%20Web%20Sites/project_1/hillandknowlton.com/favicons/favicon-32x32.png	(from https://hillandknowlton.com/work/)
22:08:10	452/452	---M--	200	added ('OK')	image/png	etag:%22715bfea8ed1dec666b2c93e37c7077ba%22	https://hillandknowlton.com/favicons/favicon-16x16.png	C:/My%20Web%20Sites/project_1/hillandknowlton.com/favicons/favicon-16x16.png	(from https://hillandknowlton.com/work/)
22:08:10	281/281	---M--	200	added ('OK')	application/manifest+json	etag:%22ba9411ef551f36603f44704a1c852405%22	https://hillandknowlton.com/favicons/site.webmanifest	C:/My%20Web%20Sites/project_1/hillandknowlton.com/favicons/site.webmanifest	(from https://hillandknowlton.com/work/)
22:08:10	15406/15406	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22e32d33f44996abc0fc7d19e30307f4a6%22	https://hillandknowlton.com/favicons/favicon.ico	C:/My%20Web%20Sites/project_1/hillandknowlton.com/favicons/favicon.ico	(from https://hillandknowlton.com/work/)
